,Momentum L/S
2020-03-31,0.025284903656983236
2020-04-30,-0.021118544610009633
2020-05-31,-0.026983582455599384
2020-06-30,0.021169628746093423
2020-07-31,-0.0648591197128061
2020-08-31,0.049104283905453364
2020-09-30,0.028241964164931452
2020-10-31,-0.04110003790093894
2020-11-30,-0.061920542356630914
2020-12-31,-0.04783958695605143
2021-01-31,0.05390109284490284
2021-02-28,0.03448065665773511
2021-03-31,0.08062150178557081
2021-04-30,-0.03408599788811173
2021-05-31,-0.057974195720140474
2021-06-30,0.01461036882838504
2021-07-31,0.04358375229419697
2021-08-31,0.09119332243098281
2021-09-30,0.049155196406802354
2021-10-31,0.04491448058023177
2021-11-30,0.11628268891437907
2021-12-31,-0.022500575165288986
2022-01-31,-0.07337416226079319
2022-02-28,-0.03173621188565444
2022-03-31,-0.09157611878164017
2022-04-30,-0.040154736609044686
2022-05-31,-0.010008357993361144
2022-06-30,-0.04272168672734558
2022-07-31,-0.08558508114589441
2022-08-31,-0.05584752593673488
2022-09-30,-0.07963768900330348
2022-10-31,0.06620255881272653
2022-11-30,-0.035334906908629206
2022-12-31,-0.0023405216611629073
2023-01-31,-0.0886840602830403
2023-02-28,0.013328728473294037
2023-03-31,-0.0045210633035829475
2023-04-30,-0.026576580606962663
2023-05-31,-0.09928998215126614
2023-06-30,-0.10937534103084737
2023-07-31,-0.02623359606167851
2023-08-31,-0.0692407331458721
2023-09-30,0.03523594825583184
2023-10-31,0.025915209509444856
2023-11-30,0.03563829869932755
2023-12-31,-0.07833005608177765
2024-01-31,0.058770814164955026
2024-02-29,0.031273432760082834
2024-03-31,-0.008574766673654966
2024-04-30,-0.013913562477375161
2024-05-31,0.0011730097654653743
2024-06-30,0.052296181486451376
2024-07-31,-0.10201351895501812
2024-08-31,-0.037089340586251546
